id_acao,padrao_texto,descricao
1,"o usuário % inseriu a atividade%","Inseriu atividade"
2,"o usuário % atualizou a etapa do cliente%","Atualizou etapa do cliente"
3,"lead arrematado por%","Lead arrematado"
4,"o usuário % alterou o resultado do cliente para perdido%","perdido"
5,"o usuário % salvou o documento%","Salvou documento"
6,"o usuário % inseriu o serviço%","Inseriu serviço"
7,"o usuário % atualizou o serviço%","Atualizou serviço"
8,"o usuário % alterou o resultado do cliente para conquistado%","conquistado"
9,"o usuário % incluiu os dados do cliente%","Incluiu dados do cliente"
10,"% acessou a página da campanha%","Acessou página da campanha"
11,"o usuário % atualizou os dados do cliente%","Atualizou dados do cliente"
12,"o usuário % inseriu nova atividade%","Inseriu nova atividade"
13,"% foi transferido da unidade % para a unidade franchising devido à ausência de atendimento após %","Transferido por ausência de atendimento"
14,"% acessou novamente a página da campanha%","Reacessou página da campanha"
15,"lead não arrematado%","Lead não arrematado"
16,"nova atividade inserida%","Nova atividade inserida"
17,"% foi transferido da unidade % para a unidade % por falta de movimentação interna no crm%","Transferido por falta de movimentação"
18,"% foi transferido da unidade % para a unidade % por estar com status de conquistado ou perdido%","Transferido por status conquistado/perdido"
19,"o usuário % atualizou o arquivo%","Atualizou arquivo"
20,"o usuário % atualizou o documento%","Atualizou documento"
21,"o usuário % deletou o serviço%","Deletou serviço"
22,"% alterou o resultado do cliente para Contestar", "contestado"
